name,dynasty,type,description,entry_time,Author,size,图片URL,museum_id,materials
双手前伸的男子,汉朝,雕塑,铅釉器：模制砖红色陶器，饰有褪色、乳光、翠绿色铅釉,2003.0,不明,17 × 12.5 × 11 厘米（6又11/16 × 4又15/16 × 4又5/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95500_dynmc?width=3000&height=3000,3,暂无
男子左手扶膝,汉朝,雕塑,铅釉陶器：模制砖红色陶胎，施以退化、乳光、翠绿色铅釉。,2003.0,不明,17 × 12.5 × 11 厘米（6又11/16 × 4又15/16 × 4又5/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95500_dynmc?width=3000&height=3000,3,暂无
桌子,汉朝,雕塑,铅釉陶器：模制，砖红色陶胎，釉层退化，呈乳光状，翠绿色，铅助熔釉。,2003.0,不明,5.5 × 26.5 × 23.5 厘米（2又3/16 × 10又7/16 × 9又1/4 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95500_dynmc?width=3000&height=3000,3,暂无
棋盘,汉朝,雕塑,铅釉器：模制砖红色陶器，施有劣化、乳光、翠绿色的铅釉。,2003.0,不明,2 × 16 × 12 厘米（13/16 × 6 5/16 × 4 3/4 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95500_dynmc?width=3000&height=3000,3,暂无
二立侍,北魏,雕塑,模制中灰色陶器，白底上施冷彩,2003.0,不明,70厘米（27又9/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95501_dynmc?width=3000&height=3000,3,暂无
双立侍之一,北魏,雕塑,模制中灰色陶器，白底上饰冷绘颜料,2003.0,不明,70 × 22 × 10 厘米（27又9/16 × 8又11/16 × 3又15/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95501_dynmc?width=3000&height=3000,3,暂无
二立侍之一,北魏,雕塑,模制中灰色陶器，白底上施冷彩,2003.0,不明,70 × 22 × 10 厘米（27 9/16 × 8 11/16 × 3 15/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95501_dynmc?width=3000&height=3000,3,暂无
跪拜宫女,北魏,雕塑,模制中灰色陶器，饰以冷绘颜料；局部区域在白色底上施以冷绘颜料。,2003.0,不明,18.5×12×12厘米（7又5/16×4又3/4×4又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95503_dynmc?width=3000&height=3000,3,暂无
站立,北魏,雕塑,模制灰陶，施冷彩绘,2003.0,不明,27 × 7 × 4.5 厘米（10又5/8 × 2又3/4 × 1又3/4 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95504_dynmc?width=3000&height=3000,3,暂无
站立,北魏,雕塑,模制灰陶器，白底上施冷绘红色颜料,2003.0,不明,33.3×15.5×5.5厘米（13又1/8×6又1/8×2又3/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:53949_dynmc?width=3000&height=3000,3,暂无
戴有护颈护耳头盔的站立武士,北魏,雕塑,模制灰陶，施冷彩,2003.0,不明,32.5 × 9.5 × 6 厘米（12又13/16 × 3又3/4 × 2又3/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95505_dynmc?width=3000&height=3000,3,暂无
两尊迈步雕像,北魏,雕塑,模制灰色陶器，残留冷绘颜料痕迹,2003.0,不明,34.5 × 13 × 19.5厘米（13又9/16 × 5又1/8 × 7又11/16英寸）,https://nrs.hvrd.art/urn-3:huam:LEG005418_dynmc?width=3000&height=3000,3,暂无
张口跨步武士,北魏,雕塑,模制灰陶，残留冷绘颜料痕迹,2003.0,不明,34.5×13×19.5厘米（13又9/16×5又1/8×7又11/16英寸）,https://nrs.hvrd.art/urn-3:huam:LEG005418_dynmc?width=3000&height=3000,3,暂无
闭口跨步武士,北魏,雕塑,模制灰陶，残留冷彩颜料痕迹,2003.0,不明,34.5×13×19.5厘米（13又9/16×5又1/8×7又11/16英寸）,https://nrs.hvrd.art/urn-3:huam:LEG005418_dynmc?width=3000&height=3000,3,暂无
两尊立像,北魏,雕塑,模制，棕灰色陶器，施以冷绘颜料,2003.0,不明,23.5×6.5×7厘米（9又1/4×2又9/16×2又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95506_dynmc?width=3000&height=3000,3,暂无
双立之一,北魏,雕塑,模制，灰褐色陶器，饰有冷绘颜料,2003.0,不明,23.5×6.5×7厘米（9又1/4×2又9/16×2又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95506_dynmc?width=3000&height=3000,3,暂无
一对立像之一,北魏,雕塑,模制，棕灰色陶器，饰以冷绘颜料,2003.0,不明,23.5×6.5×7厘米（9又1/4×2又9/16×2又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95506_dynmc?width=3000&height=3000,3,暂无
站立,北魏,雕塑,模制浅灰色陶器，残留冷绘颜料与金箔痕迹,2003.0,不明,17 × 22.5 × 9 厘米（6又11/16 × 8又7/8 × 3又9/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95508_dynmc?width=3000&height=3000,3,暂无
弯角立羊,北魏,雕塑,模制灰陶，残留冷彩绘颜料痕迹,2003.0,不明,9.5×12.5×4厘米（3又3/4×4又15/16×1又9/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95509_dynmc?width=3000&height=3000,3,暂无
卧羊曲身,北魏,雕塑,模制灰陶，残留冷彩颜料痕迹,2003.0,不明,8 × 10.5 × 5 厘米（3 1/8 × 4 1/8 × 1 15/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95509_dynmc?width=3000&height=3000,3,暂无
弯角立羊,北魏,雕塑,模制灰色陶器,2003.0,不明,12 × 12.5 × 6 厘米（4又3/4 × 4又15/16 × 2又3/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95509_dynmc?width=3000&height=3000,3,暂无
卧犬与幼犬,北魏,雕塑,模制灰色陶器，残留冷绘颜料痕迹,2003.0,不明,9 × 17 × 6 厘米（3 又 9/16 × 6 又 11/16 × 2 又 3/8 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95510_dynmc?width=3000&height=3000,3,暂无
带刺脊守护神兽对,北魏,雕塑,模制中灰色陶器，残留冷绘颜料痕迹,2003.0,不明,最大尺寸：38.5厘米（15又3/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95511_dynmc?width=3000&height=3000,3,暂无
人面守护兽,北魏,雕塑,模制中灰色陶器，残留冷绘颜料痕迹,2003.0,不明,37.5 × 35.5 × 20.5厘米（14又3/4 × 14 × 8又1/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95511_dynmc?width=3000&height=3000,3,暂无
猫面守护神兽,北魏,雕塑,模制中灰色陶器，残留冷绘颜料痕迹,2003.0,不明,38.5×36.5×20.5厘米（15又3/16×14又3/8×8又1/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95512_dynmc?width=3000&height=3000,3,暂无
站立,东魏（534-550年）至北齐（550-577年）,雕塑,模制中灰色陶器，白底上施冷彩,2003.0,不明,高49.5厘米 宽16厘米 厚12厘米（19又1/2 x 6又5/16 x 4又3/4英寸）,https://nrs.hvrd.art/urn-3:huam:VRS95558_dynmc?width=3000&height=3000,3,暂无
两尊立像,北齐,雕塑,模制灰陶，施冷彩绘,2003.0,不明,每件尺寸：高27.5厘米 × 宽8厘米 × 厚7.5厘米（10又13/16英寸 × 3又1/8英寸 × 2又15/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95515_dynmc?width=3000&height=3000,3,暂无
一对立像之一,北齐,雕塑,模制灰色陶器，饰以冷绘颜料,2003.0,不明,高27.5厘米 × 宽8厘米 × 厚7.5厘米（10又13/16英寸 × 3又1/8英寸 × 2又15/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC253292_dynmc?width=3000&height=3000,3,暂无
一对立像之一,北齐,雕塑,模制灰色陶器，饰以冷绘颜料,2003.0,不明,高27.5厘米 × 宽8厘米 × 厚7.5厘米（10又13/16英寸 × 3又1/8英寸 × 2又15/16英寸）,https://nrs.hvrd.art/urn-3:huam:DDC114328_dynmc?width=3000&height=3000,3,暂无
两尊立姿男性雕像,北齐,雕塑,模制灰陶，饰冷彩,2003.0,不明,最大尺寸：31厘米（12 3/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95516_dynmc?width=3000&height=3000,3,暂无
身着斗篷的男性立像,北齐,雕塑,模制灰色陶器，冷绘颜料,2003.0,不明,31×9×6.5厘米（12又3/16×3又9/16×2又9/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95516_dynmc?width=3000&height=3000,3,暂无
举臂男子立像,北齐,雕塑,模制灰陶器，施冷彩,2003.0,不明,28.5×11×6厘米（11又1/4×4又5/16×2又3/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95516_dynmc?width=3000&height=3000,3,暂无
戴官帽的骑马侍从,北齐,雕塑,模制灰色陶器，施冷绘颜料；局部区域于白底上施冷绘颜料,2003.0,不明,33 × 24 × 11 厘米（13 × 9 7/16 × 4 5/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95517_dynmc?width=3000&height=3000,3,暂无
站立,北齐,雕塑,模制中灰色陶器，饰以冷绘颜料；局部区域在白底上施以冷绘。,2003.0,不明,38 × 30 × 18 厘米（14又15/16 × 11又13/16 × 7又1/16英寸）,https://nrs.hvrd.art/urn-3:huam:VRS95561_dynmc?width=3000&height=3000,3,暂无
土黄色骆驼,北齐,雕塑,模制中灰色陶器，饰以冷绘颜料；局部区域在白色底上施以冷绘。,2003.0,不明,高35厘米 × 宽27.5厘米 × 深16.5厘米（13又3/4英寸 × 10又13/16英寸 × 6又1/2英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC241874_dynmc?width=3000&height=3000,3,暂无
白色骆驼,北齐,雕塑,模制中灰色陶器，饰以冷彩颜料；局部区域于白色底上施以冷彩,2003.0,不明,高33.5厘米 × 宽25厘米 × 深19.5厘米（13又3/16英寸 × 9又13/16英寸 × 7又11/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC241869_dynmc?width=3000&height=3000,3,暂无
坐姿狮形奇美拉,北齐（550-577年）至隋朝（581-618年）,雕塑,铅釉陶器：模制，浅黄色陶胎，施中绿色铅釉；局部无釉区域上施冷彩颜料。,2003.0,不明,高43厘米 × 宽16.5厘米 × 厚24厘米（16又15/16英寸 × 6又1/2英寸 × 9又7/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC253417_dynmc?width=3000&height=3000,3,暂无
翘鞋侍立俑,隋（581年—618年）至唐（618年—907年）时期,雕塑,铅釉器：模制白陶，带有草黄色铅釉痕迹及冷绘颜料。,2003.0,不明,43.5 × 12 × 8.5 厘米（17又1/8 × 4又3/4 × 3又3/8 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95522_dynmc?width=3000&height=3000,3,暂无
两位站立的宫女,隋（581年—618年）至唐（618年—907年）时期,雕塑,铅釉器：模制白陶，施以草黄色铅釉，釉上饰有冷绘颜料。,2003.0,不明,20 × 6 × 4.5 厘米（7又7/8 × 2又3/8 × 1又3/4 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95523_dynmc?width=3000&height=3000,3,暂无
一对立式宫廷仕女像之一,隋（581年—618年）至唐（618年—907年）时期,雕塑,铅釉陶器：模制成型，白色陶胎，施以草黄色铅釉，釉上饰有冷彩颜料。,2003.0,不明,20 × 6 × 4.5 厘米（7又7/8 × 2又3/8 × 1又3/4 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95523_dynmc?width=3000&height=3000,3,暂无
一对立姿宫廷仕女像之二,隋（581年－618年）至唐（618年－907年）朝,雕塑,铅釉器：模制白陶，施以草黄色铅釉，釉上饰有冷绘颜料。,2003.0,不明,20 × 6 × 4.5 厘米（7又7/8 × 2又3/8 × 1又3/4 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95523_dynmc?width=3000&height=3000,3,暂无
穿翘头鞋的宫廷侍从俑,唐朝,雕塑,三彩（“三色”）器：模制白陶，施以焦糖棕与翠绿铅釉，未施釉的面部与手部残留冷绘颜料痕迹。,2003.0,不明,103.2 × 26 × 21 厘米（40又5/8 × 10又1/4 × 8又1/4 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95524_dynmc?width=3000&height=3000,3,暂无
二立官,唐朝,雕塑,模制白陶器，施冷彩绘,2003.0,不明,81.5 × 26 × 23 厘米（32又1/16 × 10又1/4 × 9又1/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95525_dynmc?width=3000&height=3000,3,暂无
二立官之一,唐朝,雕塑,模制白陶胎冷彩绘,2003.0,不明,81.5 × 26 × 23 厘米（32 1/16 × 10 1/4 × 9 1/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95525_dynmc?width=3000&height=3000,3,暂无
二立官之一,唐朝,雕塑,模制白陶，冷绘颜料,2003.0,不明,81.5 × 26 × 23 厘米（32又1/16 × 10又1/4 × 9又1/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95527_dynmc?width=3000&height=3000,3,暂无
立式宫廷仕女像，发髻极为精致,唐朝,雕塑,模制白陶胎冷彩绘,2003.0,不明,44 × 11.5 × 10 厘米（17又5/16 × 4又1/2 × 3又15/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95528_dynmc?width=3000&height=3000,3,暂无
站立,唐朝,雕塑,模制砖红色陶器，白底上施冷彩,2003.0,不明,38 × 10 × 9 厘米（14又15/16 × 3又15/16 × 3又9/16 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS95530_dynmc?width=3000&height=3000,3,暂无
立式陶俑,唐朝,雕塑,模制红褐色陶胎，白底上残留冷绘颜料痕迹,2003.0,不明,高38.8厘米 × 宽13.5厘米 × 厚12厘米（15又1/4英寸 × 5又5/16英寸 × 4又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC253296_dynmc?width=3000&height=3000,3,暂无
站立,唐朝,雕塑,模制红褐色陶土，白底上残留冷绘颜料痕迹。,2003.0,不明,高45厘米×宽15.5厘米×厚12.8厘米（17又11/16英寸×6又1/8英寸×5又1/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC253298_dynmc?width=3000&height=3000,3,暂无
四跪,唐朝,雕塑,模制白陶器，残留冷彩绘颜料痕迹,2003.0,不明,每件（约）：高18厘米 × 宽12厘米 × 深11.5厘米（7 1/16 × 4 3/4 × 4 1/2英寸）,https://nrs.hvrd.art/urn-3:HUAM:770036?width=3000&height=3000,3,暂无
持琵琶女乐俑,唐朝,雕塑,模制白陶，残留冷彩绘颜料痕迹,2003.0,不明,高18厘米 × 宽12厘米 × 深11.5厘米（7 1/16 × 4 3/4 × 4 1/2英寸）,https://nrs.hvrd.art/urn-3:HUAM:770044?width=3000&height=3000,3,暂无
女乐师击掌,唐朝,雕塑,模制白陶器，残留冷绘颜料痕迹。,2003.0,不明,高18厘米 × 宽12厘米 × 深11.5厘米（7 1/16英寸 × 4 3/4英寸 × 4 1/2英寸）,https://nrs.hvrd.art/urn-3:HUAM:770048?width=3000&height=3000,3,暂无
